"fecha","nombre_producto","vendido"
2020-05-09,Manzanita Sol,66540.57
2021-02-23,Epura Agua Purificada,35295.24
2021-11-01,Del Valle Naranja,43696.16
2019-06-09,Epura Agua Purificada,39979.79
2019-07-20,Mineral Agua Mineral,48801.02
2018-03-18,Pepsi,90412.72
2022-03-27,Epura Agua Purificada,45184.33
2022-06-07,Del Valle Naranja,41901.40
2021-10-29,Manzanita Sol,25238.82
2021-08-06,Manzanita Sol,73438.57
2019-02-09,Pepsi,61153.41
2022-01-02,Boing Mango,41672.18
2018-12-03,Epura Agua Purificada,39584.26
2021-07-02,Manzanita Sol,39983.24
2022-02-18,Sprite,72127.82
2021-11-25,Mineral Agua Mineral,36954.13
2021-05-05,Mineral Agua Mineral,50752.04
2018-03-07,Coca-Cola,133771.23
2020-08-16,Epura Agua Purificada,45396.21
2022-03-16,Manzanita Sol,98330.20
2021-12-31,Mineral Agua Mineral,43309.41
2020-04-17,Sprite,56568.22
2019-12-11,Pepsi,86384.45
2022-05-24,Boing Guayaba,49575.09
2022-11-26,Mineral Agua Mineral,46315.95
2021-09-26,Pepsi,28788.79
2020-09-10,Del Valle Naranja,44027.50
2019-06-15,Manzanita Sol,83403.87
2022-01-22,Del Valle Naranja,101122.85
2019-09-09,Sprite,60333.60
2022-06-14,Coca-Cola,52006.07
2020-03-20,Pepsi,64606.10
2021-09-05,Manzanita Sol,61448.32
2019-10-31,Sprite,55059.50
2019-08-09,Pepsi,43815.13
2018-03-09,Mineral Agua Mineral,29427.19
2019-03-29,Coca-Cola,91462.21
2018-08-28,Boing Mango,27194.52
2021-11-26,Sprite,64927.55
2022-08-19,Pepsi,86677.61
2019-04-28,Del Valle Naranja,54825.86
2022-10-28,Pepsi,37088.05
2019-02-08,Fanta,31488.93
2020-02-22,Coca-Cola,108913.02
2021-03-30,Del Valle Naranja,64335.64
2021-10-26,Fanta,64948.93
2018-02-21,Mineral Agua Mineral,54568.93
2022-09-30,Epura Agua Purificada,28452.82
2018-01-05,Epura Agua Purificada,42642.46
2021-08-13,Sprite,48500.88
2018-11-22,Boing Mango,48629.06
2021-11-24,Pepsi,34905.35
2021-11-15,Sprite,69876.45
2018-10-05,Epura Agua Purificada,28360.93
2020-06-03,Fanta,43271.33
2021-05-11,Pepsi,78314.82
2022-08-17,Manzanita Sol,78877.83
2019-01-13,Manzanita Sol,53281.74
2018-01-24,Boing Guayaba,30355.07
2021-08-03,Sprite,42622.83
2022-04-11,Del Valle Naranja,69770.76
2021-06-02,Del Valle Naranja,60750.40
2021-12-14,Boing Mango,45028.30
2021-07-29,Manzanita Sol,54426.44
2021-10-18,Pepsi,57417.04
2022-08-15,Boing Mango,51954.27
2021-02-27,Boing Mango,54828.33
2018-03-27,Epura Agua Purificada,41651.94
2022-12-10,Pepsi,100562.67
2021-02-25,Mineral Agua Mineral,58517.21
2018-02-03,Del Valle Naranja,88080.15
2019-03-13,Pepsi,33187.68
2021-09-23,Manzanita Sol,82678.63
2022-02-05,Pepsi,59731.07
2022-12-09,Sprite,55033.52
2020-04-16,Del Valle Naranja,38486.83
2019-06-13,Sprite,82214.33
2021-05-07,Pepsi,35129.17
2020-03-31,Fanta,59428.08
2018-05-31,Epura Agua Purificada,17382.44
2018-03-15,Del Valle Naranja,89498.47
2020-09-23,Boing Mango,60244.33
2019-08-28,Fanta,39067.19
2020-02-14,Pepsi,33864.00
2020-05-30,Mineral Agua Mineral,29145.41
2021-07-24,Manzanita Sol,91695.55
2018-03-28,Mineral Agua Mineral,37685.59
2019-11-25,Sprite,54391.86
2022-12-08,Sprite,56557.30
2018-01-02,Del Valle Naranja,65307.17
2021-12-13,Pepsi,61248.93
2020-07-10,Epura Agua Purificada,56190.25
2018-05-19,Del Valle Naranja,59883.67
2018-01-30,Pepsi,49295.91
2021-04-19,Fanta,38705.38
2020-05-10,Sprite,50610.51
2021-11-12,Coca-Cola,50544.86
2019-07-19,Coca-Cola,80525.27
2019-01-25,Manzanita Sol,33847.60
2022-06-25,Coca-Cola,84651.18
2020-02-02,Sprite,76402.73
2021-04-25,Mineral Agua Mineral,54941.90
2020-12-02,Fanta,40083.00
2020-09-05,Mineral Agua Mineral,19740.87
2018-12-05,Sprite,56111.05
2020-06-05,Pepsi,32564.72
2020-07-31,Boing Mango,29466.68
2021-01-18,Boing Guayaba,96101.32
2020-12-08,Sprite,64983.72
2020-09-10,Boing Mango,48257.54
2022-06-25,Mineral Agua Mineral,27284.69
2019-04-07,Fanta,38005.66
2019-10-15,Del Valle Naranja,60609.94
2022-10-01,Pepsi,61317.93
2020-05-27,Boing Guayaba,33577.38
2018-03-13,Coca-Cola,86690.30
2018-07-22,Coca-Cola,76999.77
2020-08-26,Epura Agua Purificada,39675.70
2019-05-29,Del Valle Naranja,66521.86
2020-08-29,Pepsi,88755.18
2020-03-28,Pepsi,60065.51
2019-04-09,Epura Agua Purificada,54730.50
2022-04-22,Fanta,49563.64
2021-03-21,Boing Mango,45289.52
2021-03-29,Manzanita Sol,56936.28
2019-10-25,Del Valle Naranja,39503.85
2022-06-15,Epura Agua Purificada,46004.43
2022-09-21,Mineral Agua Mineral,28173.92
2021-10-29,Epura Agua Purificada,51045.65
2021-06-27,Sprite,73304.45
2022-02-26,Del Valle Naranja,51071.60
2022-03-21,Manzanita Sol,61559.40
2022-05-22,Fanta,80250.56
2022-04-21,Sprite,72722.92
2018-09-06,Del Valle Naranja,56883.92
2018-06-10,Manzanita Sol,36716.90
2019-11-14,Mineral Agua Mineral,54251.72
2021-06-12,Manzanita Sol,56727.02
2018-09-06,Boing Guayaba,47445.39
2022-10-28,Mineral Agua Mineral,30507.13
2020-06-14,Coca-Cola,82323.03
2020-04-09,Pepsi,32252.50
2020-12-23,Manzanita Sol,34679.78
2020-10-07,Mineral Agua Mineral,27101.59
2020-02-01,Mineral Agua Mineral,85797.62
2022-01-18,Epura Agua Purificada,36634.62
2022-07-12,Epura Agua Purificada,68955.42
2022-08-04,Pepsi,61278.28
2020-11-06,Pepsi,38497.31
2021-02-06,Fanta,58742.61
2019-02-20,Boing Guayaba,100423.18
2018-10-15,Sprite,38527.11
2022-03-25,Manzanita Sol,77046.65
2019-10-07,Manzanita Sol,62668.27
2020-02-01,Epura Agua Purificada,58396.47
2022-12-03,Del Valle Naranja,48046.97
2019-03-22,Pepsi,70751.26
2018-11-05,Mineral Agua Mineral,26528.41
2018-03-21,Coca-Cola,63857.98
2022-12-14,Manzanita Sol,53319.40
2021-12-11,Del Valle Naranja,35652.67
2019-05-27,Boing Mango,42707.41
2022-10-03,Boing Mango,69833.21
2020-08-11,Sprite,75346.56
2018-11-27,Boing Mango,48105.30
2019-07-01,Boing Mango,53143.25
2021-06-09,Pepsi,77158.10
2020-10-26,Epura Agua Purificada,45566.77
2022-05-28,Del Valle Naranja,48208.36
2022-12-20,Manzanita Sol,71549.45
2021-08-20,Epura Agua Purificada,28063.37
2019-10-26,Boing Mango,37166.72
2018-09-29,Sprite,55612.46
2020-01-19,Manzanita Sol,78298.90
2020-12-19,Coca-Cola,115401.69
2021-10-10,Mineral Agua Mineral,55774.10
2019-03-25,Boing Guayaba,87720.17
2018-09-29,Mineral Agua Mineral,48103.55
2022-08-26,Manzanita Sol,88979.90
2020-10-27,Pepsi,60699.29
2020-12-12,Mineral Agua Mineral,56390.07
2022-10-08,Del Valle Naranja,109829.36
2018-07-29,Boing Mango,24147.63
2019-03-24,Pepsi,62654.12
2019-10-29,Fanta,114841.94
2022-02-22,Boing Mango,97040.59
2020-10-13,Boing Guayaba,58258.29
2022-05-29,Coca-Cola,72826.26
2019-01-14,Sprite,54023.52
2021-04-03,Boing Mango,58037.02
2021-06-06,Fanta,20439.91
2020-07-22,Epura Agua Purificada,50277.90
2020-11-10,Mineral Agua Mineral,40109.43
2021-01-04,Coca-Cola,75681.14
2019-11-07,Manzanita Sol,64849.25
2021-09-28,Sprite,42760.74
2019-06-15,Sprite,46605.92
2020-07-12,Fanta,45053.64
2019-03-21,Epura Agua Purificada,27745.41
2018-12-12,Sprite,61612.44
2021-07-21,Mineral Agua Mineral,39465.30
2022-01-09,Boing Guayaba,94672.29
2019-03-05,Sprite,63579.38
2019-08-03,Manzanita Sol,100317.23
2020-06-19,Manzanita Sol,87546.87
2020-01-23,Epura Agua Purificada,28692.16
2019-05-28,Fanta,85810.08
2022-03-23,Fanta,30415.48
2018-11-22,Fanta,45246.07
2020-03-17,Pepsi,90858.59
2021-05-13,Epura Agua Purificada,36993.26
2018-03-23,Boing Mango,72322.49
2022-07-21,Fanta,77438.82
2020-11-11,Boing Mango,42841.29
2019-07-06,Manzanita Sol,42490.56
2021-06-17,Fanta,55094.38
2018-05-25,Coca-Cola,85203.29
2021-04-08,Epura Agua Purificada,38768.26
2022-12-30,Fanta,57000.66
2019-10-11,Epura Agua Purificada,34070.41
2020-11-28,Mineral Agua Mineral,30256.39
2020-01-31,Coca-Cola,45255.89
2018-09-08,Del Valle Naranja,53009.13
2022-09-05,Sprite,66407.40
2019-04-04,Manzanita Sol,38330.75
2021-05-11,Epura Agua Purificada,44883.99
2020-05-23,Del Valle Naranja,65781.93
2021-02-16,Sprite,35878.61
2020-01-03,Sprite,79860.46
2022-07-09,Coca-Cola,134613.90
2021-12-20,Fanta,71553.74
2019-03-24,Epura Agua Purificada,31893.99
2022-12-20,Fanta,49722.71
2019-05-29,Coca-Cola,99495.89
2022-11-07,Del Valle Naranja,49294.96
2021-02-07,Fanta,77378.13
2019-04-14,Epura Agua Purificada,57611.46
2019-12-26,Fanta,60808.74
2020-11-30,Coca-Cola,41075.35
2022-07-05,Epura Agua Purificada,84649.55
2019-11-07,Boing Mango,68136.07
2020-10-11,Mineral Agua Mineral,40506.36
2020-02-23,Mineral Agua Mineral,29398.62
2018-11-26,Boing Guayaba,61017.66
2018-11-22,Manzanita Sol,58151.20
2022-06-15,Manzanita Sol,90990.68
2021-11-05,Epura Agua Purificada,39008.95
2020-11-16,Pepsi,14456.65
2018-01-19,Coca-Cola,58682.30
2021-02-06,Sprite,87063.46
2022-04-18,Manzanita Sol,46660.57
2020-08-07,Fanta,86510.02
2019-12-16,Sprite,27232.13
2018-08-19,Del Valle Naranja,90407.39
2019-05-16,Boing Mango,39338.88
2018-06-23,Fanta,30192.88
2020-08-19,Fanta,51899.81
2020-10-16,Pepsi,56421.36
2018-08-15,Mineral Agua Mineral,48369.45
2018-03-07,Del Valle Naranja,30160.61
2019-10-21,Manzanita Sol,75096.53
2019-07-23,Epura Agua Purificada,40245.34
2022-12-31,Sprite,54604.21
2019-01-15,Del Valle Naranja,66956.66
2018-01-29,Coca-Cola,62967.56
2019-12-20,Manzanita Sol,89070.86
2021-09-27,Mineral Agua Mineral,36439.19
2022-02-26,Mineral Agua Mineral,33044.18
2022-12-07,Coca-Cola,80576.73
2020-03-25,Coca-Cola,52713.49
2021-03-01,Mineral Agua Mineral,37386.18
2019-06-26,Mineral Agua Mineral,46621.08
2022-12-29,Del Valle Naranja,71907.48
2020-10-24,Del Valle Naranja,88035.81
